,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Latitude,Longitude
0,Avarua,56,CK,1593361057,68,71.6,5.82,-21.21,-159.78
1,Labuhan,0,ID,1593361093,83,77.86,7.45,-6.88,112.21
2,Vaini,75,TO,1593361060,94,75.2,4.7,-21.2,-175.2
3,Yellowknife,75,CA,1593361008,51,63.0,10.29,62.46,-114.35
4,Port Alfred,9,ZA,1593361052,69,61.0,8.01,-33.59,26.89
5,Qaanaaq,29,GL,1593361009,63,43.79,4.5,77.48,-69.36
6,Hasaki,75,JP,1593360798,100,68.0,2.24,35.73,140.83
7,Thinadhoo,73,MV,1593361468,72,84.99,7.63,0.53,72.93
8,Port Hardy,20,CA,1593360903,76,57.2,5.82,50.7,-127.42
9,Hong Kong,99,HK,1593361016,66,86.0,11.01,22.29,114.16
10,Walvis Bay,0,NA,1593361076,22,77.0,8.05,-22.96,14.51
11,Wageningen,90,NL,1593361468,52,68.0,11.41,51.97,5.67
12,Nemuro,100,JP,1593361469,97,49.08,15.43,43.32,145.57
13,Atar,0,MR,1593361469,6,112.37,20.42,20.52,-13.05
14,Ribeira Grande,75,PT,1593361054,83,73.4,12.75,38.52,-28.7
15,Mataura,99,NZ,1593361045,90,41.68,4.32,-46.19,168.86
16,Bluff,81,NZ,1593361054,75,47.26,11.92,-46.6,168.33
17,Butaritari,31,KI,1593360906,74,82.67,14.92,3.07,172.79
18,Sisimiut,99,GL,1593361069,82,42.17,8.3,66.94,-53.67
19,Kiryat Gat,20,IL,1593361469,65,82.99,8.05,31.61,34.76
20,Point Pleasant,1,US,1593361365,66,87.01,6.93,40.08,-74.07
21,Inhambane,0,MZ,1593361058,30,82.4,10.11,-23.86,35.38
22,Daru,97,PG,1593361226,86,77.85,15.39,-9.08,143.21
23,San Quintín,99,MX,1593361470,74,65.59,6.82,30.48,-115.95
24,Benidorm,31,ES,1593361470,68,82.99,4.0,38.54,-0.13
25,Kapaa,75,US,1593361007,94,73.4,4.7,22.08,-159.32
26,Cabrobó,0,BR,1593361470,33,87.6,12.8,-8.51,-39.31
27,Albany,90,US,1593360902,83,71.6,4.7,42.6,-73.97
28,North Adams,75,US,1593361187,78,73.99,3.36,42.7,-73.11
29,Mar del Plata,20,AR,1593361048,76,48.2,4.7,-38.0,-57.56
30,Lagoa,100,PT,1593361057,91,68.43,6.44,39.05,-27.98
31,Llangefni,99,GB,1593361470,87,55.99,23.04,53.26,-4.31
32,Whitehaven,100,GB,1593361350,95,55.0,14.0,54.55,-3.58
33,Ushuaia,75,AR,1593361046,69,35.6,19.46,-54.8,-68.3
34,Panguna,74,PG,1593361471,100,68.09,2.13,-6.32,155.48
35,Ardabil,90,IR,1593361369,100,53.6,18.34,38.25,48.29
36,Thompson,90,CA,1593361073,93,59.0,8.05,55.74,-97.86
37,Tuatapere,97,NZ,1593361056,83,45.0,5.41,-46.13,167.68
38,Juba,39,SS,1593361471,76,79.03,4.21,4.85,31.58
39,Iqaluit,75,CA,1593360820,80,39.2,5.82,63.75,-68.51
40,Jaciara,17,BR,1593361471,42,88.88,1.83,-15.97,-54.97
41,Colesberg,0,ZA,1593361471,51,47.86,7.74,-30.72,25.1
42,Waverly,1,US,1593361471,54,78.8,4.83,42.74,-84.62
43,Punta Arenas,0,CL,1593361043,86,32.0,5.82,-53.15,-70.92
44,Atuona,59,PF,1593361006,79,79.63,14.61,-9.8,-139.03
45,Yumen,0,CN,1593361069,27,72.16,13.42,40.28,97.2
46,Arraial do Cabo,40,BR,1593361062,73,75.2,16.11,-22.97,-42.03
47,Guerrero Negro,0,MX,1593361084,65,71.29,5.39,27.98,-114.06
48,Hermanus,28,ZA,1593361046,72,59.0,1.99,-34.42,19.23
49,Cayenne,65,GF,1593361098,66,86.0,4.68,4.93,-52.33
50,Ivanivka,0,UA,1593361386,38,85.21,6.85,46.72,34.55
51,Longyearbyen,75,SJ,1593361056,65,44.6,6.93,78.22,15.64
52,Bonthe,85,SL,1593361070,82,80.49,11.5,7.53,-12.51
53,Keetmanshoop,0,NA,1593361473,28,68.0,3.36,-26.58,18.13
54,Belyy Yar,40,RU,1593361473,87,60.8,2.24,53.6,91.39
55,Cap-aux-Meules,40,CA,1593361473,68,71.6,10.29,47.38,-61.86
56,Neiafu,75,TO,1593361227,88,77.0,8.05,-18.65,-173.98
57,Chokurdakh,100,RU,1593361106,59,53.38,10.83,70.63,147.92
58,Palmer,75,US,1593360917,61,82.0,3.36,42.16,-72.33
59,Bambanglipuro,59,ID,1593361473,86,77.31,9.73,-7.95,110.28
60,Tulun,17,RU,1593361473,93,61.52,5.1,54.56,100.58
61,Cape Town,75,ZA,1593361009,71,62.01,5.82,-33.93,18.42
62,Gari,100,RU,1593361474,76,53.17,6.53,59.43,62.35
63,Glinka,98,RU,1593361264,80,71.42,1.86,54.64,32.88
64,Puerto Ayora,75,EC,1593361010,73,75.2,11.41,-0.74,-90.35
65,Nome,90,US,1593361107,100,44.6,6.93,64.5,-165.41
66,Wakkanai,100,JP,1593361474,94,52.99,20.33,45.41,141.67
67,Sebrovo,89,RU,1593361204,68,76.26,7.18,50.1,43.3
68,Provideniya,98,RU,1593361065,81,39.18,16.04,64.38,-173.3
69,Hilo,20,US,1593361051,83,71.6,4.7,19.73,-155.09
70,Khatanga,44,RU,1593361014,43,77.09,11.01,71.97,102.5
71,Saint Paul Harbor,90,US,1593361050,87,51.8,9.17,57.79,-152.41
72,Port-Gentil,40,GA,1593361475,83,77.0,14.99,-0.72,8.78
73,Airai,84,TL,1593361062,100,56.97,3.24,-8.93,125.41
74,Tiksi,91,RU,1593361068,71,40.06,3.49,71.69,128.87
75,Busselton,100,AU,1593361045,92,50.0,1.01,-33.65,115.33
76,Nānākuli,1,US,1593361081,78,73.0,3.36,21.39,-158.15
77,Narsaq,81,GL,1593361048,54,55.4,11.41,60.92,-46.05
78,Hobart,90,AU,1593360798,81,44.6,8.05,-42.88,147.33
79,Nambucca Heads,9,AU,1593361475,76,53.6,11.41,-30.65,153.0
80,Husavik,20,IS,1593361077,82,55.4,11.41,66.04,-17.34
81,Nikolskoye,0,RU,1593361011,40,68.0,11.18,59.7,30.79
82,George Town,40,MY,1593361071,74,86.0,10.29,5.41,100.34
83,Ixtapa,75,MX,1593361476,62,86.0,6.93,20.7,-105.2
84,Nanortalik,100,GL,1593361062,80,44.01,10.51,60.14,-45.24
85,Matucana,10,PE,1593361476,25,68.65,5.19,-11.85,-76.4
86,Horsham,20,GB,1593361094,55,64.99,19.46,51.06,-0.33
87,Lata,0,PT,1593361050,53,84.0,11.23,40.16,-8.33
88,Cuamba,74,MZ,1593361476,46,74.98,0.67,-14.8,36.54
89,Ihiala,98,NG,1593361477,95,74.41,5.84,5.85,6.86
90,Bredasdorp,33,ZA,1593361049,72,59.0,11.41,-34.53,20.04
91,Castro,100,BR,1593361052,85,54.68,6.2,-24.79,-50.01
92,Antrim,90,GB,1593361477,87,54.0,21.92,54.67,-6.25
93,Mount Gambier,27,AU,1593361102,87,42.8,6.93,-37.83,140.77
94,Mazatlán,20,MX,1593361459,66,88.0,10.29,23.22,-106.42
95,Codrington,18,AU,1593361477,85,42.73,7.11,-38.27,141.97
96,Ponta do Sol,4,PT,1593361015,72,73.99,8.99,32.67,-17.1
97,Dagana,0,MR,1593361477,28,107.6,7.0,16.52,-15.51
98,Barrow,1,US,1593361006,75,46.4,8.05,71.29,-156.79
99,Kupang,95,ID,1593361477,79,75.15,10.76,-10.17,123.58
100,Jamestown,20,US,1593361005,64,71.6,11.41,42.1,-79.24
101,Tasiilaq,100,GL,1593361009,75,46.4,17.22,65.61,-37.64
102,Klaksvík,96,FO,1593361069,93,55.4,18.34,62.23,-6.59
103,Tuktoyaktuk,75,CA,1593361048,93,39.2,3.36,69.45,-133.04
104,Bodītī,54,ET,1593361478,95,60.22,5.19,6.97,37.87
105,Talnakh,30,RU,1593361060,47,75.2,15.66,69.49,88.4
